X:	U:	P:	RO:	E:	Q:
1.63	3.52847e-82	0.285714	0.357143	1.2	1.09951e-82
1.631	8.62307e-83	0.285714	0.357143	1.2	2.68699e-83
1.632	2.10747e-83	0.285714	0.357143	1.2	6.56684e-84
1.633	5.15098e-84	0.285714	0.357143	1.2	1.605e-84
1.634	1.25907e-84	0.285714	0.357143	1.2	3.92304e-85
1.635	3.07781e-85	0.285714	0.357143	1.2	9.58967e-86
1.636	7.52438e-86	0.285714	0.357143	1.2	2.34434e-86
1.637	1.83966e-86	0.285714	0.357143	1.2	5.73158e-87
1.638	4.49826e-87	0.285714	0.357143	1.2	1.40142e-87
1.639	1.1e-87	0.285714	0.357143	1.2	3.42691e-88
1.64	2.69018e-88	0.285714	0.357143	1.2	8.38066e-89
1.641	6.57978e-89	0.285714	0.357143	1.2	2.04972e-89
1.642	1.60947e-89	0.285714	0.357143	1.2	5.01364e-90
1.643	3.93726e-90	0.285714	0.357143	1.2	1.22646e-90
1.644	9.63264e-91	0.285714	0.357143	1.2	3.00048e-91
1.645	2.35686e-91	0.285714	0.357143	1.2	7.34121e-92
1.646	5.76711e-92	0.285714	0.357143	1.2	1.79631e-92
1.647	1.41129e-92	0.285714	0.357143	1.2	4.39572e-93
1.648	3.4539e-93	0.285714	0.357143	1.2	1.07575e-93
1.649	8.45339e-94	0.285714	0.357143	1.2	2.63284e-94
1.65	2.0691e-94	0.285714	0.357143	1.2	6.44415e-95
1.651	5.06473e-95	0.285714	0.357143	1.2	1.57737e-95
1.652	1.23981e-95	0.285714	0.357143	1.2	3.86123e-96
1.653	3.03512e-96	0.285714	0.357143	1.2	9.45235e-97
1.654	7.43043e-97	0.285714	0.357143	1.2	2.31405e-97
1.655	1.81915e-97	0.285714	0.357143	1.2	5.66531e-98
1.656	4.45386e-98	0.285714	0.357143	1.2	1.38704e-98
1.657	1.09048e-98	0.285714	0.357143	1.2	3.39598e-99
1.658	2.66995e-99	0.285714	0.357143	1.2	8.31476e-100
1.659	6.53723e-100	0.285714	0.357143	1.2	2.03583e-100
1.66	1.60061e-100	0.285714	0.357143	1.2	4.98465e-101
1.661	3.919e-101	0.285714	0.357143	1.2	1.22047e-101
1.662	9.59528e-102	0.285714	0.357143	1.2	2.98822e-102
1.663	2.34924e-102	0.285714	0.357143	1.2	7.31624e-103
1.664	5.75148e-103	0.285714	0.357143	1.2	1.79121e-103
1.665	1.40802e-103	0.285714	0.357143	1.2	4.38516e-104
1.666	3.44671e-104	0.285714	0.357143	1.2	1.07348e-104
1.667	8.43652e-105	0.285714	0.357143	1.2	2.62766e-105
1.668	2.06479e-105	0.285714	0.357143	1.2	6.43131e-106
1.669	5.05279e-106	0.285714	0.357143	1.2	1.5739e-106
1.67	1.23629e-106	0.285714	0.357143	1.2	3.85116e-107
1.671	3.02437e-107	0.285714	0.357143	1.2	9.42179e-108
1.672	7.39708e-108	0.285714	0.357143	1.2	2.30458e-108
1.673	1.80878e-108	0.285714	0.357143	1.2	5.63576e-109
1.674	4.42176e-109	0.285714	0.357143	1.2	1.37786e-109
1.675	1.08063e-109	0.285714	0.357143	1.2	3.3677e-110
1.676	2.6401e-110	0.285714	0.357143	1.2	8.2286e-111
1.677	6.44769e-111	0.285714	0.357143	1.2	2.00986e-111
1.678	1.57404e-111	0.285714	0.357143	1.2	4.90725e-112
1.679	3.84095e-112	0.285714	0.357143	1.2	1.19764e-112
1.68	9.36817e-113	0.285714	0.357143	1.2	2.92157e-113
1.681	2.28375e-113	0.285714	0.357143	1.2	7.1234e-114
1.682	5.5642e-114	0.285714	0.357143	1.2	1.7359e-114
1.683	1.35487e-114	0.285714	0.357143	1.2	4.22774e-115
1.684	3.297e-115	0.285714	0.357143	1.2	1.02902e-115
